time_s,x_km_from_center,z_km_from_center,altitude_km,temperature_C,relative_humidity_percent,vapor_g_kg,cloud_water_g_kg,rain_water_g_kg,pressure_hPa,wind_u_m_s,wind_v_m_s,wind_w_m_s,buoyancy_m_s2,vorticity_s-1,terrain_world_units,surface_moisture_fraction
0.000000,-1.548387,0.516129,2.727273,10.106373,107.999997,7.915923,2.224446,0.183366,729.757010,11.664802,1.676222,11.083505,0.023342,0.000878,0.906267,0.685156
3.000000,-1.548387,0.516129,2.727273,10.255108,106.444978,7.877740,2.261093,0.191682,729.730899,11.627942,1.668675,10.583393,0.027507,0.000873,0.906267,0.685150
6.000000,-1.548387,0.516129,2.727273,10.363211,105.441372,7.858491,2.282573,0.200600,729.679127,11.570255,1.641874,10.143516,0.030534,0.000868,0.906267,0.685144
9.000000,-1.548387,0.516129,2.727273,10.445933,104.776302,7.851026,2.295287,0.209994,729.608519,11.497923,1.600141,9.753011,0.032850,0.000863,0.906267,0.685138
12.000000,-1.548387,0.516129,2.727273,10.512623,104.321616,7.850914,2.303028,0.219782,729.524767,11.416132,1.547217,9.403613,0.034717,0.000858,0.906267,0.685132
15.000000,-1.548387,0.516129,2.727273,10.569016,103.999303,7.855400,2.308025,0.229906,729.432605,11.329221,1.486315,9.088900,0.036296,0.000853,0.906267,0.685126
18.000000,-1.548387,0.516129,2.727273,10.618646,103.761466,7.862759,2.311562,0.240321,729.335959,11.240786,1.420149,8.803787,0.037686,0.000847,0.906267,0.685120
21.000000,-1.548387,0.516129,2.727273,10.663694,103.578413,7.871904,2.314364,0.250993,729.238061,11.153778,1.350984,8.544192,0.038947,0.000842,0.906267,0.685114
