tick,time,population,grazers,predators,births,deaths,energy,totalEnergy,biomass,resource,generation,diversity,species,oldest,temperature,mutationCount,mean_size,mean_speed,mean_vision,mean_turn,mean_efficiency,mean_fertility,mean_lifespan,mean_aggression,mean_camouflage,mean_thermal,species_1,species_2,species_3,species_4,species_5
300,48,472,425,47,9,12,58.18574230458895,27463.670367765983,44777.85895751381,1404.8124312244852,4,1.302633284218555,4,69.83706974051813,26.604415630443906,482,1.0480743698394575,1.2057874092965033,1.0045613980349533,1.0018053486799128,0.8026696379816864,1.0020882669820796,120.18703448038035,0.7486794646955384,0.2951447132220585,21.972185430552603,124,47,173,128,0
320,51.2,469,422,47,8,11,58.37559485867337,27378.153988717808,44523.54700187746,1463.6400196824763,4,1.3018384780042842,4,73.03706974051806,26.793163339950024,487,1.0444954622698517,1.2087784043974017,1.0038748508873159,1.001928350697217,0.8018679387017517,1.0020973249272642,120.23130910112378,0.7485980753909492,0.29531771420940306,21.978588567889595,125,47,174,123,0
340,54.4,470,422,48,14,13,58.78269006048386,27627.864328427415,44745.47802563211,1436.4688356259028,4,1.3007539004091477,4,76.237069740518,26.960951765731274,507,1.040584419282958,1.212795216020018,1.0047826552084655,1.001595678731491,0.8014462856742609,1.0029108720478368,120.23199038379572,0.7498925685021087,0.29526042018464227,21.98681038685894,125,48,178,119,0
360,57.6,468,418,50,11,13,60.21950824444962,28182.72985840242,45240.16070414835,1398.3375242761956,4,1.304472622054817,4,79.43706974051793,27.107047211693388,519,1.041357194489981,1.21480836798706,1.005453200371484,1.0018011249159195,0.8014591299447765,1.0022202374993603,120.22913543598328,0.7528693663091132,0.2953855125170401,22.002963285314298,122,50,178,118,0
380,60.800000000000004,468,414,54,13,13,59.99471973210282,28077.52883462412,45127.55602217067,1445.7906087490408,4,1.3121244070120517,4,82.63706974051786,27.230810839623345,538,1.040905200704915,1.2161324180397433,1.0043510583731463,1.0012809227845596,0.8006017999851545,1.0021903898740194,120.28090448160309,0.758171431031175,0.29543130999587014,22.011580772922187,123,54,177,114,0
400,64,466,411,55,12,14,59.55698736424474,27753.55611173805,44622.26440674749,1512.3673187461147,4,1.3065517869206524,4,85.83706974051779,27.331701462666317,556,1.0342555668307456,1.2248176947353886,1.0041978875811028,1.0004211761092592,0.7997603037725616,1.002087097158086,120.29557618308907,0.7592508628896467,0.29494837693526094,22.023769900165966,119,55,184,108,0
420,67.2,463,406,57,14,17,59.86849331499181,27719.11240484121,44360.62665439663,1524.0878286593029,4,1.301178508202413,4,89.03706974051772,27.409277911798103,571,1.0269370101546096,1.2329787160278858,1.0045582225323213,1.000799374080023,0.798489367313036,1.0017068391401807,120.25126302700623,0.7605190870820804,0.295620244129538,22.01850632704776,116,57,190,100,0
440,70.4,464,403,61,16,15,59.2347146805909,27484.907611794177,44174.91851003195,1525.9707232444948,4,1.3045587852170288,4,92.23706974051765,27.46320096494501,589,1.0277100306796645,1.2388255258941456,1.0049115645989741,1.000947153285969,0.7982706021621766,1.0012209063842155,120.30743035177487,0.7636980325986531,0.2950281692998498,22.02178936078801,112,61,192,99,0
460,73.60000000000001,469,401,68,23,18,57.56782649174651,26999.310624629114,43894.32671224989,1523.6714815996502,4,1.3140704950717188,4,95.43706974051759,27.49323483031568,613,1.0292425274213086,1.2372622902735844,1.0036807915621773,1.0020558370450763,0.7970760822152374,1.0015330186864637,120.30338888287724,0.7704523636398515,0.29562631072242956,22.009632420268986,118,68,190,93,0
480,76.8,465,397,68,14,18,57.5354321183324,26753.975935024566,43411.92868082499,1559.0860863076757,4,1.3058118178614193,4,98.63706974051752,27.49924817745858,628,1.0235301226298286,1.244986835274573,1.0029900226679445,1.0016920052894376,0.7963763282556847,1.0018159082889138,120.32313703371639,0.7696090390994501,0.2955095694373559,22.000888395973984,113,68,195,89,0
500,80,474,404,70,15,6,55.36480712810826,26242.918578723315,43211.18524069343,1560.9322785253075,4,1.304735520640733,4,101.47398818051296,27.481214711536683,649,1.0228008837836147,1.247141657412324,1.002238952970616,1.000921634040573,0.7963662850177181,1.001491903610074,120.31473462377463,0.7702492618898779,0.29547657765686103,21.99267897864347,114,70,200,90,0
520,83.2,475,403,72,19,18,55.06607547644548,26156.385851311603,43051.44847309017,1508.1586767378435,5,1.2905559868003533,4,104.6739881805129,27.439213288308075,671,1.0162443682272846,1.2591553315866213,1.0016553203498852,1.0009723232889054,0.7956723780902825,1.0007275715322483,120.17969414104886,0.7718143231018258,0.2960019040133733,21.989743953279746,106,72,211,86,0
540,86.4,483,407,76,20,12,54.073455405311535,26117.47896076547,43155.63622861856,1437.2338368641006,5,1.2766086072620564,4,107.87398818051282,27.373427569309797,698,1.007876797861761,1.2689506320040067,1.0015530053144381,1.0005883188120883,0.7941064390737141,1.000920474346618,120.14563155523656,0.7751331701586118,0.29626153138707706,21.985043224872626,107,76,222,78,0
560,89.60000000000001,480,408,72,11,14,54.85785530231156,26331.77054510955,43133.177737185644,1368.1618539343035,5,1.2567117871742237,4,111.07398818051276,27.284145218752666,710,1.0000837614330997,1.2763841170721184,1.000852850761985,1.0005084311413526,0.7934286476807727,1.0012835852880866,120.1598415812653,0.7721051493027705,0.2955782318866553,21.97261157800307,104,72,230,74,0
580,92.8,474,399,75,9,15,55.70678072017891,26405.014061364804,42988.79077569442,1334.0389079761683,6,1.2546649508883214,4,114.27398818051269,27.171756645638887,717,0.9996248772953346,1.2804995167865572,1.0005638135610373,1.0012475047521014,0.7929536605581627,1.0009064696333965,120.21923186422417,0.7754751791494187,0.29537135157748173,21.983015235515023,99,75,229,71,0
600,96,467,389,78,15,22,55.16843220675284,25763.657840553577,42057.78204049905,1370.5986702461787,6,1.2449777075746327,4,117.47398818051262,27.036753296602818,737,0.9968873783998413,1.2875414293147875,0.9989348676832687,1.0016844755750263,0.7921830529139162,1.0013803079293062,120.06764594596089,0.7795515051548414,0.2952980677532836,21.979282006232673,90,78,231,68,0
620,99.2,460,388,72,12,19,55.77556487259044,25656.759841391602,41654.08527850726,1335.1423548472906,6,1.2355056955331478,4,120.67398818051255,26.879725506939863,751,0.9936226979574934,1.2891204922852975,0.9985068576347402,1.0023365298727078,0.7929277488583477,1.0012134868486224,120.05815707600442,0.7732498580232495,0.2956109299734234,21.99579450227542,86,72,232,70,0
640,102.4,452,376,76,10,18,56.079011033539224,25347.712987159728,41104.651250277595,1328.9341407613354,6,1.2320000090047076,4,123.87398818051248,26.701359919220465,758,0.9960137966572641,1.2946736080882355,1.00035639033198,1.0021594397371738,0.792916988991133,1.0012350342655874,120.2671306165233,0.7784690106978003,0.29520796714473924,21.996220354870797,77,76,230,69,0
660,105.60000000000001,450,376,74,9,11,55.74849131753634,25086.821092891354,40688.12998279963,1350.839707796104,6,1.216539504725945,4,127.07398818051242,26.502436480776808,766,0.9905592945973523,1.2990628304330372,1.0004713602859479,1.001576514152783,0.7927479685783323,1.001726334934217,120.29995829854917,0.7770680281553284,0.29475569680267943,22.007946365320016,74,74,235,67,0
680,108.8,448,381,67,13,15,55.11499809897405,24691.519148340372,40045.32160423511,1335.8988076239038,6,1.1862483420225687,4,130.27398818051236,26.28382503319162,782,0.9791965851973686,1.3068598325542529,0.9989388034276223,1.00145274810088,0.7922889208011339,1.0026195355241163,120.26257855324836,0.7683954134504131,0.29481176373419393,22.02722366101703,71,67,245,65,0
700,112,440,371,69,11,19,55.524646934821014,24430.844651321248,39439.217337678536,1348.0099860110072,6,1.1722432974479056,4,133.4739881805123,26.046481508702225,793,0.9745696549582669,1.312984980404506,0.9992700395171813,1.0012856858119603,0.7912390587991757,1.0017701461349666,120.4266759794579,0.7721309855287691,0.29406938139692107,22.02990193740273,68,69,245,58,0
720,115.2,429,357,72,15,26,55.97063455420427,24011.40222375363,38586.97124381466,1329.211354029709,6,1.1595116627437894,4,136.67398818051223,25.791443750152112,805,0.9707338674699304,1.3189044235665448,0.9991855748259766,1.002032541203821,0.7901413922504554,1.0019509549370689,120.4302097800378,0.7769111223689212,0.2937564534778948,22.024620534737743,64,72,242,51,0
740,118.4,425,347,78,13,17,55.50512297584493,23589.677264734095,38046.82875769407,1302.7546541030767,6,1.1563293724427386,4,139.87398818051216,25.519826972768243,825,0.9719093440645348,1.3223271707084727,0.9994754881745702,1.001824831806115,0.7890320750589834,1.0022305099768134,120.34156743517437,0.7863745525367654,0.2941052672641188,22.020213104832905,62,78,239,46,0
760,121.60000000000001,409,333,76,6,22,55.9957071409611,22902.24422065309,36767.46690784286,1331.316282148585,6,1.1405686497104446,4,141.24097035024084,25.2328188876086,832,0.9685799991051184,1.328891780416343,0.9989178254025416,1.0034678878706582,0.788975818346897,1.0029441165821498,120.38513411029052,0.7868526558484434,0.29352772163930807,22.0317914897947,57,76,234,42,0
780,124.8,393,318,75,7,23,55.828589367608814,21940.635621470265,35228.1560771939,1370.287573121512,6,1.12237449278629,4,136.43292101118493,24.931674508003965,838,0.9660138462903418,1.3341707175882045,0.9978606159135268,1.0032359588182327,0.7888702958042523,1.0035255149355324,120.31950825777986,0.7898971483383864,0.2931609916699806,22.055288787117874,50,75,229,39,0
800,128,378,302,76,4,19,56.392428043809616,21316.337800560035,34085.28930357135,1421.7795745595608,6,1.1121881479621623,4,139.63292101118486,24.617710661703907,845,0.9651512851860425,1.3384883276173747,0.9972644755094305,1.0031952765446075,0.7882172014039533,1.0038602723467915,120.48492171184738,0.7932583034481204,0.2926625254539038,22.068440578519926,47,76,221,34,0
820,131.2,366,290,76,10,22,55.76449471814818,20409.805066842233,32763.120159345264,1419.8739872227939,6,1.1026856362957607,4,137.6428331092909,24.292300232724095,859,0.9643493436770536,1.3417752498744808,0.9952986459838278,1.003773415440077,0.7877771547826359,1.0036533995024997,120.50826570670289,0.7965675152202186,0.29230255001603384,22.06343531970729,44,76,215,31,0
840,134.4,353,279,74,7,20,55.42812125509368,19566.126803048068,31472.53277602104,1409.4164640580345,6,1.0900508451587383,4,138.99486046153828,23.956866158073844,871,0.9636912968816641,1.3464179737767958,0.9945988356287653,1.002554661397195,0.7878719263706923,1.00461080068663,120.68769797396502,0.7971496840979951,0.2921760066678527,22.071615868274435,38,74,210,31,0
860,137.6,342,263,79,9,20,55.82122819574384,19090.860042944394,30653.46223473984,1372.1095758997149,6,1.073483363039548,4,139.25180980087964,23.612875205614557,884,0.9659650953880901,1.352345380825244,0.9940614889878625,1.002718768786929,0.787004664721829,1.0044683504146954,120.83209245273054,0.8097186207466551,0.2917807587940887,22.0794829134361,34,79,203,26,0
880,140.8,328,251,77,7,21,57.182300330826905,18755.794508511226,29792.61785102623,1337.7045192872151,6,1.0433808857419022,4,137.43999999999778,23.261831560257136,891,0.9613957615431173,1.3601420995317488,0.9930770873601612,1.0013269032010719,0.7861614680445201,1.0045398503758023,120.90099893540655,0.8109542895215334,0.29181703748605586,22.082206993091216,30,77,199,22,0
900,144,322,243,79,15,21,54.77552168239762,17637.717981732032,28473.280367524607,1338.9075468348294,7,1.0273493890000829,4,139.03999999999775,22.90527024654404,906,0.9614518532202816,1.3652810971735068,0.9920387911789452,1.003027764714615,0.7855764766183888,1.005052500051874,120.85626031084914,0.8152012082505131,0.2930712453523716,22.079324911730307,27,79,196,20,0
920,147.20000000000002,309,229,80,7,20,55.723189377680846,17218.465517703382,27707.567565243422,1306.9737671511778,7,1.0262574023002027,4,141.1199999999977,22.544750416377546,913,0.9698661162773942,1.3680013893699439,0.9913284697038887,1.0052084499940344,0.7857240921762781,1.0039393112411972,120.91642157252038,0.8226518864016467,0.2930791275999598,22.075280919536333,22,80,186,21,0
940,150.4,295,213,82,8,22,55.01798283403914,16230.304936041546,26295.26815774692,1305.8288869127132,7,1.0034551922911603,4,144.31999999999763,22.181848531245198,923,0.9748148398746104,1.3720689764382377,0.9915205770866731,1.0060886162186005,0.7859864546096386,1.0029589808499604,120.89873420518961,0.8325511281478077,0.29281431371021727,22.07769302641625,17,82,177,19,0
960,153.6,285,201,84,4,14,54.41910869920016,15509.445979272044,25236.030971968903,1359.9176951674046,7,0.9678392969497065,4,147.51999999999757,21.818151468754806,927,0.9750962398693576,1.3781090891978969,0.9898561905740089,1.0067421987424077,0.7845415916998296,1.002850879663389,120.99478601710375,0.8420782820255253,0.2923240490218282,22.055502208689916,15,84,172,14,0
980,156.8,276,189,87,7,16,54.18131999812996,14954.044319483868,24406.830291977876,1399.3726219863029,7,0.9616585103846635,4,139.67999999999773,21.455249583622454,932,0.9785492725149088,1.3786248065670392,0.9887102155223243,1.0095627623583319,0.784171201709593,1.000714845022683,121.20001879826222,0.8515094844732751,0.2923909355668761,22.032478487304676,15,87,163,11,0
1000,160,271,182,89,9,14,52.77266548646152,14301.392346831071,23642.849029656918,1425.8998485092427,7,0.9550660324332976,4,138.87999999999775,21.094729753455965,948,0.9848662817950296,1.3789766457736545,0.9917356127941577,1.0082336716130076,0.7842961639837953,1.0018018049794344,121.2445499032708,0.8579553476035996,0.29245057605749525,21.992387461528274,14,89,158,10,0
1020,163.20000000000002,256,168,88,3,18,52.438511666050694,13424.258986508978,22326.25995910062,1466.8973109375675,7,0.9763047555827642,4,135.35999999999783,20.738168439742864,951,0.9935268942624599,1.3737060892619009,0.9908490917573313,1.0097539653691443,0.7847989516644092,1.001954707485965,121.42249663916296,0.8661235643777221,0.2921786865765123,22.01701290487036,14,88,144,10,0
1040,166.4,245,160,85,4,15,53.13348134780261,13017.702930211639,21518.133724445277,1503.823313973248,7,0.9579474574821758,4,138.55999999999776,20.387124794385443,956,0.991303882709463,1.3753232717132855,0.9905586716543635,1.0108540668623356,0.7849129247923943,1.001426097700866,121.57442558028633,0.8686360551620284,0.29254174822540363,21.999558746228953,12,85,139,9,0
1060,169.6,237,154,83,6,14,52.45011096614344,12430.676298975995,20676.392306405367,1522.010133750963,7,0.9897423634024562,5,139.03999999999775,20.043133841926164,964,0.9940585904074007,1.3739768866913655,0.9896061287165758,1.010906818721206,0.7850388702002646,1.0018971481212344,121.42892179359217,0.8722839443857592,0.29409425264258293,22.00342395145187,12,82,133,9,1
1080,172.8,228,147,81,4,13,52.62199217272445,11997.814215381173,19900.849482856072,1561.41441679652,7,0.9557104039260904,5,142.23999999999768,19.707699767275905,969,0.9903552966760523,1.3797770529601194,0.9898445644637764,1.0109423610728827,0.7846079595408215,1.0030441140606097,121.57749306246828,0.8751196515440798,0.2934060965123506,22.00530858476558,10,80,130,7,1
1100,176,223,138,85,5,10,52.11964166559955,11622.6800914287,19431.77737110576,1597.2672204277262,7,0.9350210343001639,5,145.4399999999976,19.382289338296097,972,1.0005249557561917,1.3796860446139976,0.9891191789841502,1.0121582398703872,0.7839491423028897,1.0025270355573221,121.64292159000733,0.8894930189926967,0.29311699180242023,21.99533337187274,8,84,124,6,1
1120,179.20000000000002,213,130,83,2,12,52.33849520567351,11148.099478808457,18656.037886564147,1638.1787087131224,7,0.9474258295929272,5,148.63999999999754,19.068325491996035,972,1.0071010607318174,1.3763600584110913,0.9893483201644118,1.0111834878675305,0.7840240910021087,1.0028530228971346,121.70413945145165,0.8938757193339162,0.2926267896724771,22.004279986896645,8,82,116,6,1
1140,182.4,208,122,86,8,13,51.04125632903937,10616.58131644019,18017.02024092253,1656.3256545698698,7,0.9449178976808239,5,151.83999999999747,18.7671811123914,983,1.0165438083080138,1.3733715106625612,0.9874951352996088,1.0125559765585044,0.7839902449660456,1.0014083872521693,121.87224829463516,0.9041034166006143,0.29277560269237857,21.986215340870437,8,85,109,5,1
1160,185.6,208,121,87,7,7,49.08442715890216,10209.56084905165,17591.360969604622,1682.4461589310524,7,0.917858963341538,5,155.0399999999974,18.48017302723176,988,1.0139835330429916,1.3772473409380472,0.9859320302413556,1.0128095607294514,0.7837131870932795,1.0016963056147388,121.73207804336062,0.9066047079433655,0.29347882026141536,21.988990381054254,7,86,110,4,1
1180,188.8,201,115,86,5,12,47.964797831493435,9640.92436413018,16807.45510065086,1719.763546281715,7,0.9123251676209427,5,140.47999999999772,18.208556249847888,995,1.0186966221067058,1.3795385858782538,0.9843583524029065,1.0141979670485592,0.784371414461926,1.0018675656081517,121.65410709154526,0.9092392622729885,0.29364558530915785,21.9689755253026,6,85,105,4,1
1200,192,188,104,84,3,16,49.10701701038386,9232.119197952166,15958.01666574906,1788.00551379041,8,0.8781879752106426,5,135.9999999999978,17.95351849129778,1000,1.0221728674463384,1.3845421885152314,0.9829911126855803,1.0155408848788172,0.7841161957839226,1.001547652773405,121.63405502651557,0.9182441762416833,0.2958813865662321,21.956660747056986,4,83,97,3,1
1220,195.20000000000002,179,94,85,3,12,50.15570697732059,8977.871548940386,15433.072158964054,1844.3553683288562,8,0.8301563636351572,5,137.27999999999778,17.71617496680838,1002,1.0303592354387345,1.3858024110163187,0.9834764641246241,1.016143856423625,0.7842202785169478,1.0015190700640868,121.79801976727785,0.9337678133194237,0.2953071290627576,21.912656790753275,2,84,90,2,1
1240,198.4,173,91,82,5,11,49.92006305302318,8636.17090817301,14864.846888614722,1872.5991371962893,8,0.8102724293898622,5,140.47999999999772,17.497563519223192,1007,1.0286830686113486,1.389966701773773,0.9829860850939501,1.0149837514484568,0.7839115274512165,0.9976893617844238,121.90764009389979,0.9330987339079961,0.2951517376939246,21.92284471531955,2,81,88,1,1
1260,201.6,169,90,79,4,8,50.670582078371346,8563.328371244757,14630.250399495755,1889.8422810155184,8,0.83534479463951,5,137.75999999999777,17.29864008077954,1008,1.0256841975065096,1.3936575044116621,0.9817146361850615,1.0191144423923943,0.784250266800192,0.997726463562252,122.09917483468091,0.9288750169449511,0.2962459467198098,21.8890777954887,2,77,87,1,2
1280,204.8,158,83,75,4,15,52.2165462746853,8250.214311400277,13912.214590472835,1930.4771073143204,8,0.8098956060994993,4,140.47999999999772,17.120274493060137,1009,1.0238698515501923,1.3953533360208743,0.9835106650779988,1.015990193805158,0.7842917681083286,0.9975652802755904,122.23155983847249,0.9306728250526329,0.29772265002820375,21.880889993888353,2,73,81,0,2
1300,208,153,81,72,3,8,53.17693142786647,8136.07050846357,13611.037510953352,1989.6518601943192,8,0.8124403004081895,4,138.23999999999776,16.963246703397186,1013,1.022402801585393,1.391810030914775,0.9828757017043194,1.0175834669538342,0.7847477277950808,0.996590398899219,122.27080612578523,0.9317382711543476,0.29946417179253115,21.848148780613183,2,70,79,0,2
1320,211.20000000000002,150,82,68,5,8,53.20191379325502,7980.287068988253,13308.754426445394,2040.767838391808,8,0.8116224109636264,4,141.4399999999977,16.828243354361113,1018,1.0149461633251686,1.3961512086712604,0.9814404460159901,1.0167159389357447,0.7849842496017445,0.9979578407993229,122.60732513770834,0.9195129472062551,0.3003045012977206,21.887473492344856,2,66,80,0,2
